Depth,First arrival time (1-2),First arrival time (2-3),First arrival time (3-4),First arrival time (4-1),First arrival time (1-3),First arrival time (2-4)
0,499,499,499,499,499,499
-0.01,499,499,499,499,499,499
-0.02,499,499,499,499,499,499
-0.03,499,499,499,499,499,499
-0.04,499,499,499,499,499,499
-0.05,499,499,499,499,499,499
-0.06,499,499,499,499,499,499
-0.07,499,499,499,499,499,499
-0.08,499,499,499,499,499,499
-0.09,499,499,499,499,499,499
-0.1,499,499,499,499,499,499
-0.11,499,499,499,499,499,499
-0.12,499,499,499,499,499,499
-0.13,499,499,499,499,499,499
-0.14,499,499,499,499,499,499
-0.15,499,499,499,499,499,499
-0.16,499,499,499,499,499,499
-0.17,499,499,499,499,499,499
-0.18,499,499,499,499,499,499
-0.19,499,499,499,499,499,499
-0.2,499,499,499,499,499,499
-0.21,499,499,499,499,499,499
-0.22,499,499,499,499,499,499
-0.23,499,499,499,499,499,499
-0.24,499,499,499,499,499,499
-0.25,499,499,499,499,499,499
-0.26,499,499,499,499,499,499
-0.27,499,499,499,499,499,499
-0.28,499,499,499,499,499,499
-0.29,499,499,499,499,499,499
-0.3,499,499,499,499,499,499
-0.31,499,499,499,499,499,499
-0.32,499,499,499,499,499,499
-0.33,499,499,499,499,499,499
-0.34,499,499,499,499,499,499
-0.35,499,499,499,499,499,499
-0.36,499,499,499,499,499,499
-0.37,499,499,499,499,499,499
-0.38,499,499,499,499,499,499
-0.39,499,499,499,499,499,499
-0.4,499,499,499,499,499,499
-0.41,499,499,499,499,499,499
-0.42,499,499,499,499,499,499
-0.43,499,499,499,499,499,499
-0.44,480,499,499,499,499,499
-0.45,458,499,499,499,499,499
-0.46,454,499,499,499,499,499
-0.47,448,499,499,499,499,499
-0.48,443,499,499,499,455,499
-0.49,440,499,499,499,447,499
-0.5,439,499,499,499,440,499
-0.51,435,499,499,499,436,499
-0.52,433,499,499,499,428,499
-0.53,428,499,499,499,420,499
-0.54,459,499,499,499,415,499
-0.55,421,499,481,499,410,499
-0.56,453,499,499,499,407,499
-0.57,450,499,412,499,403,499
-0.58,445,499,410,499,401,499
-0.59,442,499,406,499,399,499
-0.6,423,499,403,499,397,499
-0.61,436,499,398,499,398,499
-0.62,416,499,396,499,437,499
-0.63,416,499,392,499,437,499
-0.64,411,483,388,499,435,499
-0.65,405,477,386,499,445,499
-0.66,401,469,381,499,443,499
-0.67,397,465,376,499,442,499
-0.68,391,430,372,499,440,499
-0.69,387,427,369,482,437,499
-0.7,384,421,364,479,400,499
-0.71,362,417,362,475,331,499
-0.72,352,411,356,472,327,499
-0.73,345,408,354,466,323,499
-0.74,342,402,347,462,320,499
-0.75,336,399,347,457,315,499
-0.76,329,395,382,451,296,499
-0.77,321,391,377,446,291,499
-0.78,276,374,357,424,300,499
-0.79,272,351,350,402,297,499
-0.8,267,345,345,398,294,499
-0.81,261,379,317,410,287,499
-0.82,256,378,310,390,259,499
-0.83,254,374,304,399,247,499
-0.84,250,372,286,377,206,450
-0.85,249,376,280,390,197,442
-0.86,248,356,287,388,177,438
-0.87,278,336,245,399,177,433
-0.88,244,329,243,393,197,428
-0.89,236,288,277,441,213,424
-0.9,229,281,274,376,181,419
-0.91,226,322,251,357,162,375
-0.92,224,329,235,352,159,333
-0.93,195,322,228,347,156,328
-0.94,187,304,225,325,154,326
-0.95,182,274,186,316,152,323
-0.96,180,268,182,300,150,317
-0.97,157,259,179,295,134,315
-0.98,155,223,179,271,132,312
-0.99,153,220,180,270,144,311
-1,152,188,149,267,143,310
-1.01,144,166,145,303,132,347
-1.02,130,163,137,300,127,347
-1.03,130,162,129,313,125,344
-1.04,136,154,124,279,124,341
-1.05,141,152,122,236,119,325
-1.06,137,150,114,229,119,301
-1.07,127,149,113,211,119,266
-1.08,126,148,112,195,124,258
-1.09,120,146,112,185,125,255
-1.1,118,145,113,180,126,251
-1.11,112,144,113,173,126,276
-1.12,110,143,113,155,126,236
-1.13,109,142,113,155,126,230
-1.14,109,142,113,161,127,228
-1.15,109,142,113,160,127,223
-1.16,110,143,124,160,127,220
-1.17,110,143,111,160,127,250
-1.18,110,144,111,160,128,190
-1.19,112,145,111,162,128,186
-1.2,116,147,112,162,128,206
-1.21,116,149,112,162,128,156
-1.22,117,150,118,161,128,152
-1.23,118,151,119,162,128,134
-1.24,125,152,119,160,128,119
-1.25,125,153,120,159,128,115
-1.26,125,154,120,160,128,114
-1.27,125,155,120,159,139,112
-1.28,125,161,119,162,138,111
-1.29,125,161,118,159,127,112
-1.3,118,161,119,151,125,111
-1.31,118,162,115,151,124,109
-1.32,118,164,115,152,124,107
-1.33,119,176,114,152,123,105
-1.34,119,176,112,149,123,105
-1.35,119,176,111,149,123,105
-1.36,119,175,111,149,123,105
-1.37,120,174,110,149,123,105
-1.38,120,159,108,150,123,105
-1.39,120,158,108,154,123,105
-1.4,120,157,107,154,123,105
-1.41,121,157,107,153,124,105
-1.42,121,157,107,153,125,105
-1.43,122,151,107,147,125,106
-1.44,123,150,107,147,125,106
-1.45,123,150,108,146,126,108
-1.46,124,149,109,151,121,109
-1.47,124,149,109,146,120,120
-1.48,123,149,110,145,118,117
-1.49,123,149,110,144,118,117
-1.5,118,148,110,144,116,119
-1.51,117,148,110,144,116,119
-1.52,117,148,109,144,115,119
-1.53,117,147,109,143,115,119
-1.54,117,147,108,142,114,119
-1.55,118,148,108,142,114,120
-1.56,118,149,108,142,113,124
-1.57,119,150,108,147,114,124
-1.58,124,153,108,142,120,119
-1.59,125,161,108,141,117,119
-1.6,126,164,109,142,118,119
-1.61,138,165,110,142,117,119
-1.62,137,165,110,149,118,118
-1.63,150,161,111,141,128,117
-1.64,137,161,115,141,134,116
-1.65,135,162,116,143,188,116
-1.66,142,168,123,150,188,115
-1.67,139,170,123,151,181,114
-1.68,133,170,129,154,164,113
-1.69,144,171,129,161,151,112
-1.7,133,172,128,161,146,109
-1.71,142,184,127,162,137,108
-1.72,127,186,125,162,136,108
-1.73,134,174,123,162,136,108
-1.74,129,186,121,162,136,108
-1.75,128,179,110,154,136,108
-1.76,119,170,109,153,136,108
-1.77,120,169,109,152,136,107
-1.78,120,162,109,147,146,107
-1.79,119,160,109,146,132,106
-1.8,119,159,110,146,130,106
-1.81,118,158,111,145,124,106
-1.82,117,157,111,145,124,106
-1.83,118,157,112,145,126,106
-1.84,119,157,113,144,132,106
-1.85,128,156,115,143,139,106
-1.86,124,156,115,142,139,107
-1.87,123,156,116,142,137,107
-1.88,116,155,116,141,129,106
-1.89,115,154,116,141,131,107
-1.9,114,154,116,141,134,107
-1.91,114,153,121,141,138,107
-1.92,114,153,122,141,141,106
-1.93,114,152,123,142,149,106
-1.94,114,152,124,142,149,106
-1.95,114,153,140,142,149,106
-1.96,114,153,141,142,148,106
-1.97,114,154,141,141,148,107
-1.98,114,155,141,141,140,111
-1.99,115,156,142,141,138,111
-2,116,158,142,141,137,112
-2.01,116,158,142,141,136,113
-2.02,117,160,142,141,135,113
-2.03,117,161,142,140,133,113
-2.04,117,163,141,140,131,108
-2.05,117,171,139,140,130,108
-2.06,117,171,136,140,129,107
-2.07,117,172,136,139,125,106
-2.08,118,173,135,139,119,106
-2.09,118,174,135,139,124,105
-2.1,117,174,134,138,124,105
-2.11,117,175,134,138,125,104
-2.12,115,181,133,137,125,104
-2.13,114,178,134,137,117,104
-2.14,114,166,133,137,118,104
-2.15,113,164,133,137,118,103
-2.16,113,163,126,137,119,103
-2.17,112,162,122,136,120,103
-2.18,111,161,115,136,129,103
-2.19,111,161,109,137,130,103
-2.2,111,160,107,137,131,104
-2.21,112,160,106,137,130,104
-2.22,112,160,105,138,130,104
-2.23,112,159,105,138,130,104
-2.24,113,159,105,139,130,104
-2.25,113,159,104,140,126,104
-2.26,112,159,104,141,132,105
-2.27,112,160,103,141,132,105
-2.28,112,161,102,142,133,106
-2.29,112,161,101,142,135,107
-2.3,112,162,102,142,134,108
-2.31,112,162,101,141,127,108
-2.32,112,163,102,141,125,108
-2.33,112,163,101,142,120,109
-2.34,113,164,101,142,120,109
-2.35,113,166,101,142,120,110
-2.36,114,170,101,142,119,110
-2.37,114,171,101,142,118,111
-2.38,113,174,101,142,118,111
-2.39,114,174,102,142,117,112
-2.4,114,175,102,142,117,112
-2.41,114,175,103,142,117,113
-2.42,114,174,103,142,117,114
