Pile Ref,Drilling - Start day, Drilling Time- Start,Drilling - End day,Time- End, + Top Level Casing (FROM MSL), -  Bottom Level Casing (FROM MSL),Casing Length ,Sediment Level (First material),Rock Level ,Pile - Level Of Support,Pile Socket,Rock Socket,sup,Casting day,Concreting Time- Start,Concreting Time-End,m3 First truck,Type of slump first truck,Slump first truck (mm),Superplasticizer or water added first truck,m3 second truck,Type of slump second truck,Slump second trick (mm),Superplasticizer or water added second truck,m3 third truck,Type of slump third truck,Slump third truck (mm),Superplasticizer or water added third truck,Theoretical Site Concrete volume m3,Concrete used m3,Position Coordinate X, Position Coordinate Y,CROSS HOLE SONIC SUBMISSION DAY ,PILE STATUS ,DEFECT  LOCATION 1 (CSL),DEFECT  LOCATION 2 (CSL),DEFECT  LOCATION 3 (CSL)
43,05/01/2023,11:00,06/01/2023,10:00,2.11,18.05,20.16,13.60,17.07,21.2,0.98,3.15,GPBL ,09/01/2023,17:30,21:00,8,Collapse,180,no,8,Collapse,180,no,3,shear,160,yes,15.5,19.0,455957.2,3972385.5,23/01/2023,REJECTED,20.45,17.3,FALSE
46,11/01/2023,09:40,13/01/2023,11:00,2.04,22.62,24.66,13.70,16.78,28.26,5.84,5.64,GPBL ,14/01/2023,12:00,13:50,7,Collapse,180,no,7,TRUE,180,no,8,shear,175,yes,20.1,22.0,455961.2,3972388.4,07/02/2023,REJECTED,25.3,20.3,FALSE
55,16/01/2023,10:30,17/01/2023,12:00,2.06,24.42,26.48,13.40,24.00,27.64,0.42,3.22,GPBL ,18/01/2023,10:00,13:00,7.00,TRUE,175.00,yes,7.00,TRUE,150.00,yes,7.00,TRUE,130.00,yes,19.7,21.0,455973.5,3972398.7,07/02/2023,REJECTED,22.6,FALSE,FALSE
52,19/01/2023,14:50,23/01/2023,09:30,2.05,26.6,28.65,13.70,23.6,33.5,3,6.90,GPBL ,25/01/2023,14:30,17:30,9,Shear,190,no,9,Collapse,210,yes,10,shear,190,yes,23.6,28.0,455968.9,3972393.9,07/02/2023,REJECTED,33.1,FALSE,FALSE
40,27/01/2023,09:40,30/01/2023,10:00,2,28.2,30.2,13.70,17,31.9,11.2,3.70,GPBL ,31/01/2023,10:38,13:08,9,shear,200,no,9,Collapse,200,no,9,shear,200,yes,22.5,27.0,455951.2,3972382.7,27/04/2023,REJECTED,31.5,FALSE,FALSE
37,01/02/2023,09:45,01/02/2023,16:50,2.65,21.5,24.15,14.13,19,24.85,2.5,3.35,GPBL ,03/02/2023,14:30,16:30,9,Shear,140,no,10,Shear,160,no,,,,,18.3,19.0,455945.9,3972378.8,04/04/2023,REJECTED,21.8,FALSE,FALSE
31,04/02/2023,07:00,06/02/2023,16:00,2.18,21.99,24.17,14.20,21.5,25.82,0.49,3.83,GPBL ,07/02/2023,15:45,19:00,10,TRUE,210,no,9,TRUE,140,no,,,,,18.6,19.0,455935.3,3972371.2,04/04/2023,ACCEPTED ,FALSE,FALSE,FALSE
28,13/02/2023,11:00,13/02/2023,05:00,2,20.5,22.5,14.00,19.4,23.5,1.1,3.00,GPBL ,15/02/2023,10:30,12:00,9,TRUE,190,no,9,Shear,200,no,,,,,17.0,18.0,455930.0,3972367.4,27/04/2023,REJECTED,FALSE,FALSE,0.9
25,15/02/2023,15:00,16/02/2023,17:00,2,20,22,12.90,19,23.8,1,3.80,GPBL ,17/02/2023,14:00,14:00,9,TRUE,160,no,10,TRUE,170,no,,,,,17.2,19.0,455925.4,3972362.7,04/04/2023,REJECTED,FALSE,FALSE,0.45
22,18/02/2023,09:45,20/02/2023,09:00,1.7,21.3,23,14.50,20.5,24.6,0.8,3.30,GPBL ,20/02/2023,14:00,20:00,10,TRUE,130,yes,10,TRUE,140,no,,,,,17.5,20.0,455921.3,3972359.8,04/04/2023,REJECTED,FALSE,18.7,1.7
